Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector() [156]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::~vector() [157]
                                   4             frame_dummy [1]
-----------------------------------------------
                0.00    0.00  201152/201152      Stats::calculate_std() [37]
[8]      0.0    0.00    0.00  201152         std::vector<double, std::allocator<double> >::operator[](unsigned long) [8]
-----------------------------------------------
                0.00    0.00      40/101960      std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const [108]
                0.00    0.00     448/101960      Stats::calculate_mean(double) [38]
                0.00    0.00  101472/101960      Stats::calculate_std() [37]
[9]      0.0    0.00    0.00  101960         std::vector<double, std::allocator<double> >::size() const [9]
-----------------------------------------------
                0.00    0.00    1065/43266       maxheap::extract_max() [56]
                0.00    0.00    1251/43266       minheap::extract_min() [54]
                0.00    0.00    1456/43266       minheap::get_min() [27]
                0.00    0.00    1680/43266       maxheap::get_max() [26]
                0.00    0.00    7022/43266       maxheap::max_heapify(int) [57]
                0.00    0.00    9474/43266       minheap::insert(float) [30]
                0.00    0.00    9500/43266       maxheap::insert(float) [31]
                0.00    0.00   11818/43266       minheap::min_heapify(int) [55]
[10]     0.0    0.00    0.00   43266         std::vector<float, std::allocator<float> >::operator[](unsigned long) [10]
-----------------------------------------------
                0.00    0.00       6/8442        std::vector<float, std::allocator<float> >::push_back(float&&) [129]
                0.00    0.00    8436/8442        std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<float> >, std::is_move_constructible<float>, std::is_move_assignable<float> >::value, void>::type std::swap<float>(float&, float&) [15]
[11]     0.0    0.00    0.00    8442         std::remove_reference<float&>::type&& std::move<float&>(float&) [11]
-----------------------------------------------
                0.00    0.00    2198/4469        maxheap::parent(int) [22]
                0.00    0.00    2271/4469        minheap::parent(int) [19]
[12]     0.0    0.00    0.00    4469         __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::floor<int>(int) [12]
-----------------------------------------------
                0.00    0.00      48/4280        void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&) [88]
                0.00    0.00    2116/4280        void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&) [24]
                0.00    0.00    2116/4280        void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&) [23]
[13]     0.0    0.00    0.00    4280         float const& std::forward<float const&>(std::remove_reference<float const&>::type&) [13]
-----------------------------------------------
                0.00    0.00    3357/3357        reader(char*) [144]
[14]     0.0    0.00    0.00    3357         bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [14]
-----------------------------------------------
                0.00    0.00     984/2812        maxheap::max_heapify(int) [57]
                0.00    0.00    1828/2812        minheap::min_heapify(int) [55]
[15]     0.0    0.00    0.00    2812         std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<float> >, std::is_move_constructible<float>, std::is_move_assignable<float> >::value, void>::type std::swap<float>(float&, float&) [15]
                0.00    0.00    8436/8442        std::remove_reference<float&>::type&& std::move<float&>(float&) [11]
-----------------------------------------------
                0.00    0.00     448/2688        Stats::calculate_median() [40]
                0.00    0.00     448/2688        Stats::calculate_firstq() [39]
                0.00    0.00     448/2688        Stats::calculate_thirdq() [41]
                0.00    0.00     448/2688        manager::add_element_heap_median(double&) [44]
                0.00    0.00     448/2688        manager::add_element_heap_firstq(double&) [43]
                0.00    0.00     448/2688        manager::add_element_heap_thirdq(double&) [45]
[16]     0.0    0.00    0.00    2688         maxheap::get_size() [16]
-----------------------------------------------
                0.00    0.00     448/2688        Stats::calculate_median() [40]
                0.00    0.00     448/2688        Stats::calculate_firstq() [39]
                0.00    0.00     448/2688        Stats::calculate_thirdq() [41]
                0.00    0.00     448/2688        manager::add_element_heap_median(double&) [44]
                0.00    0.00     448/2688        manager::add_element_heap_firstq(double&) [43]
                0.00    0.00     448/2688        manager::add_element_heap_thirdq(double&) [45]
[17]     0.0    0.00    0.00    2688         minheap::get_size() [17]
-----------------------------------------------
                0.00    0.00       6/2570        void __gnu_cxx::new_allocator<float>::construct<float, float>(float*, float&&) [115]
                0.00    0.00     448/2570        void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&) [46]
                0.00    0.00    2116/2570        void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&) [23]
[18]     0.0    0.00    0.00    2570         operator new(unsigned long, void*) [18]
-----------------------------------------------
                0.00    0.00    2271/2271        minheap::insert(float) [30]
[19]     0.0    0.00    0.00    2271         minheap::parent(int) [19]
                0.00    0.00    2271/4469        __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::floor<int>(int) [12]
-----------------------------------------------
                0.00    0.00    2245/2245        minheap::min_heapify(int) [55]
[20]     0.0    0.00    0.00    2245         minheap::left(int) [20]
-----------------------------------------------
                0.00    0.00    2245/2245        minheap::min_heapify(int) [55]
[21]     0.0    0.00    0.00    2245         minheap::right(int) [21]
-----------------------------------------------
                0.00    0.00    2198/2198        maxheap::insert(float) [31]
[22]     0.0    0.00    0.00    2198         maxheap::parent(int) [22]
                0.00    0.00    2198/4469        __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::floor<int>(int) [12]
-----------------------------------------------
                0.00    0.00    2116/2116        void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&) [24]
[23]     0.0    0.00    0.00    2116         void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&) [23]
                0.00    0.00    2116/4280        float const& std::forward<float const&>(std::remove_reference<float const&>::type&) [13]
                0.00    0.00    2116/2570        operator new(unsigned long, void*) [18]
-----------------------------------------------
                0.00    0.00      48/2116        void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&) [88]
                0.00    0.00    2068/2116        std::vector<float, std::allocator<float> >::push_back(float const&) [25]
[24]     0.0    0.00    0.00    2116         void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&) [24]
                0.00    0.00    2116/4280        float const& std::forward<float const&>(std::remove_reference<float const&>::type&) [13]
                0.00    0.00    2116/2116        void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&) [23]
-----------------------------------------------
                0.00    0.00    1027/2116        maxheap::insert(float) [31]
                0.00    0.00    1089/2116        minheap::insert(float) [30]
[25]     0.0    0.00    0.00    2116         std::vector<float, std::allocator<float> >::push_back(float const&) [25]
                0.00    0.00    2068/2116        void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&) [24]
                0.00    0.00      48/54          std::vector<float, std::allocator<float> >::end() [86]
                0.00    0.00      48/48          void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&) [88]
-----------------------------------------------
                0.00    0.00     224/1680        Stats::calculate_median() [40]
                0.00    0.00     224/1680        manager::add_element_heap_firstq(double&) [43]
                0.00    0.00     336/1680        Stats::calculate_thirdq() [41]
                0.00    0.00     448/1680        Stats::calculate_firstq() [39]
                0.00    0.00     448/1680        manager::add_element_heap_thirdq(double&) [45]
[26]     0.0    0.00    0.00    1680         maxheap::get_max() [26]
                0.00    0.00    1680/43266       std::vector<float, std::allocator<float> >::operator[](unsigned long) [10]
-----------------------------------------------
                0.00    0.00     224/1456        manager::add_element_heap_firstq(double&) [43]
                0.00    0.00     336/1456        Stats::calculate_firstq() [39]
                0.00    0.00     448/1456        Stats::calculate_median() [40]
                0.00    0.00     448/1456        Stats::calculate_thirdq() [41]
[27]     0.0    0.00    0.00    1456         minheap::get_min() [27]
                0.00    0.00    1456/43266       std::vector<float, std::allocator<float> >::operator[](unsigned long) [10]
-----------------------------------------------
                0.00    0.00    1339/1339        maxheap::max_heapify(int) [57]
[28]     0.0    0.00    0.00    1339         maxheap::left(int) [28]
-----------------------------------------------
                0.00    0.00    1339/1339        maxheap::max_heapify(int) [57]
[29]     0.0    0.00    0.00    1339         maxheap::right(int) [29]
-----------------------------------------------
                0.00    0.00     209/1089        manager::add_element_heap_thirdq(double&) [45]
                0.00    0.00     432/1089        manager::add_element_heap_firstq(double&) [43]
                0.00    0.00     448/1089        manager::add_element_heap_median(double&) [44]
[30]     0.0    0.00    0.00    1089         minheap::insert(float) [30]
                0.00    0.00    9474/43266       std::vector<float, std::allocator<float> >::operator[](unsigned long) [10]
                0.00    0.00    2271/2271        minheap::parent(int) [19]
                0.00    0.00    1089/2116        std::vector<float, std::allocator<float> >::push_back(float const&) [25]
-----------------------------------------------
                0.00    0.00     163/1027        manager::add_element_heap_firstq(double&) [43]
                0.00    0.00     416/1027        manager::add_element_heap_thirdq(double&) [45]
